|home|away|date|home_pts|away_pts|game_id
531|GSW|DET|2020-01-04|104|111|21900532
532|SAC|NOP|2020-01-04|115|117|21900533
533|LAC|NYK|2020-01-05|135|132|21900534
534|MIA|POR|2020-01-05|122|111|21900535
535|CLE|MIN|2020-01-05|103|118|21900536
536|PHX|MEM|2020-01-05|114|121|21900537
537|LAL|DET|2020-01-05|106|99|21900538
538|CHA|IND|2020-01-06|104|115|21900539
539|ORL|BKN|2020-01-06|101|89|21900540
540|PHI|OKC|2020-01-06|120|113|21900541
541|WAS|BOS|2020-01-06|99|94|21900542
542|ATL|DEN|2020-01-06|115|123|21900543
543|NOP|UTA|2020-01-06|126|128|21900544
544|DAL|CHI|2020-01-06|118|110|21900545
545|SAS|MIL|2020-01-06|126|104|21900546
546|SAC|GSW|2020-01-06|111|98|21900547
547|CLE|DET|2020-01-07|113|115|21900548
548|TOR|POR|2020-01-07|99|101|21900549
549|BKN|OKC|2020-01-07|103|111|21900550
550|MEM|MIN|2020-01-07|119|112|21900551
551|PHX|SAC|2020-01-07|103|114|21900552
552|LAL|NYK|2020-01-07|117|87|21900553
553|BOS|SAS|2020-01-08|114|129|21900554
554|CHA|TOR|2020-01-08|110|112|21900555
555|IND|MIA|2020-01-08|108|122|21900556
556|ORL|WAS|2020-01-08|123|89|21900557
557|ATL|HOU|2020-01-08|115|122|21900558
558|DAL|DEN|2020-01-08|106|107|21900559
559|NOP|CHI|2020-01-08|123|108|21900560
560|UTA|NYK|2020-01-08|128|104|21900561
561|GSW|MIL|2020-01-08|98|107|21900562
562|DET|CLE|2020-01-09|112|115|21900563
563|PHI|BOS|2020-01-09|109|98|21900564
564|MIN|POR|2020-01-09|116|102|21900565
565|OKC|HOU|2020-01-09|113|92|21900566
566|WAS|ATL|2020-01-10|111|101|21900567
567|BKN|MIA|2020-01-10|117|113|21900568
568|NYK|NOP|2020-01-10|111|123|21900569
569|CHI|IND|2020-01-10|105|116|21900570
570|MEM|SAS|2020-01-10|134|121|21900571
571|DAL|LAL|2020-01-10|114|129|21900572
572|PHX|ORL|2020-01-10|98|94|21900573
573|UTA|CHA|2020-01-10|109|92|21900574
574|SAC|MIL|2020-01-10|106|127|21900575
575|LAC|GSW|2020-01-10|109|100|21900576
576|HOU|MIN|2020-01-11|139|109|21900577
577|BOS|NOP|2020-01-11|140|105|21900578
578|DET|CHI|2020-01-11|99|108|21900579
579|OKC|LAL|2020-01-11|110|125|21900580
580|DAL|PHI|2020-01-11|109|91|21900581
581|DEN|CLE|2020-01-11|103|111|21900582
582|POR|MIL|2020-01-11|101|122|21900583
583|NYK|MIA|2020-01-12|124|121|21900584
584|WAS|UTA|2020-01-12|116|127|21900585
585|BKN|ATL|2020-01-12|108|86|21900586
586|TOR|SAS|2020-01-12|104|105|21900587
587|MEM|GSW|2020-01-12|122|102|21900588
588|DEN|LAC|2020-01-12|114|104|21900589
589|PHX|CHA|2020-01-12|100|92|21900590
590|DET|NOP|2020-01-13|110|117|21900591
591|IND|PHI|2020-01-13|101|95|21900592
592|BOS|CHI|2020-01-13|113|101|21900593
593|MIN|OKC|2020-01-13|104|117|21900594
594|POR|CHA|2020-01-13|115|112|21900595
595|SAC|ORL|2020-01-13|112|114|21900596
596|LAL|CLE|2020-01-13|128|99|21900597
597|ATL|PHX|2020-01-14|123|110|21900598
598|BKN|UTA|2020-01-14|107|118|21900599
599|MEM|HOU|2020-01-14|121|110|21900600
600|MIL|NYK|2020-01-14|128|102|21900601
601|GSW|DAL|2020-01-14|97|124|21900602
602|LAC|CLE|2020-01-14|128|103|21900603
603|BOS|DET|2020-01-15|103|116|21900604
604|PHI|BKN|2020-01-15|117|106|21900605
605|MIA|SAS|2020-01-15|106|100|21900606
606|CHI|WAS|2020-01-15|115|106|21900607
607|MIN|IND|2020-01-15|99|104|21900608
608|OKC|TOR|2020-01-15|121|130|21900609
609|DEN|CHA|2020-01-15|100|86|21900610
610|HOU|POR|2020-01-15|107|117|21900611
611|SAC|DAL|2020-01-15|123|127|21900612
612|LAL|ORL|2020-01-15|118|119|21900613
613|NYK|PHX|2020-01-16|98|121|21900614
614|MIL|BOS|2020-01-16|128|123|21900615
615|NOP|UTA|2020-01-16|138|132|21900616
616|GSW|DEN|2020-01-16|131|134|21900617
617|LAC|ORL|2020-01-16|122|95|21900618
618|IND|MIN|2020-01-17|116|114|21900619
619|PHI|CHI|2020-01-17|100|89|21900620
620|TOR|WAS|2020-01-17|140|111|21900621
621|MEM|CLE|2020-01-17|113|109|21900622
622|OKC|MIA|2020-01-17|108|115|21900623
623|SAS|ATL|2020-01-17|120|121|21900624
624|DAL|POR|2020-01-17|120|112|21900625
625|NOP|LAC|2020-01-18|130|133|21900626
626|BKN|MIL|2020-01-18|97|117|21900627
627|BOS|PHX|2020-01-18|119|123|21900628
628|ATL|DET|2020-01-18|103|136|21900629
629|NYK|PHI|2020-01-18|87|90|21900630
630|CHI|CLE|2020-01-18|118|116|21900631
631|MIN|TOR|2020-01-18|112|122|21900632
632|HOU|LAL|2020-01-18|115|124|21900633
633|GSW|ORL|2020-01-18|109|95|21900634
634|OKC|POR|2020-01-18|119|106|21900635
635|UTA|SAC|2020-01-18|123|101|21900636
636|SAS|MIA|2020-01-19|107|102|21900637
637|DEN|IND|2020-01-19|107|115|21900638
638|WAS|DET|2020-01-20|106|100|21900639
639|ATL|TOR|2020-01-20|117|122|21900640
640|BKN|PHI|2020-01-20|111|117|21900641
641|CHA|ORL|2020-01-20|83|106|21900642
642|CLE|NYK|2020-01-20|86|106|21900643
643|MIA|SAC|2020-01-20|118|113|21900644
644|HOU|OKC|2020-01-20|107|112|21900645
645|MEM|NOP|2020-01-20|116|126|21900646
646|MIL|CHI|2020-01-20|111|98|21900647
647|BOS|LAL|2020-01-20|139|107|21900648
648|MIN|DEN|2020-01-20|100|107|21900649
649|PHX|SAS|2020-01-20|118|120|21900650
650|UTA|IND|2020-01-20|118|88|21900651
651|POR|GSW|2020-01-20|129|124|21900652
652|DAL|LAC|2020-01-21|107|110|21900653
653|DET|SAC|2020-01-22|127|106|21900654
654|ORL|OKC|2020-01-22|114|120|21900655
655|ATL|LAC|2020-01-22|102|95|21900656
656|BOS|MEM|2020-01-22|119|95|21900657
657|MIA|WAS|2020-01-22|134|129|21900658
658|NYK|LAL|2020-01-22|92|100|21900659
659|TOR|PHI|2020-01-22|107|95|21900660
660|CHI|MIN|2020-01-22|117|110|21900661
661|HOU|DEN|2020-01-22|121|105|21900662
662|NOP|SAS|2020-01-22|117|121|21900663
663|PHX|IND|2020-01-22|87|112|21900664
664|GSW|UTA|2020-01-22|96|129|21900665
665|CLE|WAS|2020-01-23|112|124|21900666
666|BKN|LAL|2020-01-23|113|128|21900667
667|POR|DAL|2020-01-23|125|133|21900668
668|CHA|MIL|2020-01-24|103|116|21900669
669|DET|MEM|2020-01-24|112|125|21900670
670|ORL|BOS|2020-01-24|98|109|21900671
671|NYK|TOR|2020-01-24|112|118|21900672
672|MIA|LAC|2020-01-24|117|122|21900673
673|CHI|SAC|2020-01-24|81|98|21900674
674|MIN|HOU|2020-01-24|124|131|21900675
675|NOP|DEN|2020-01-24|106|113|21900676
676|OKC|ATL|2020-01-24|140|111|21900677
677|SAS|PHX|2020-01-24|99|103|21900678
678|GSW|IND|2020-01-24|118|129|21900679
679|UTA|DAL|2020-01-25|112|107|21900680
680|DET|BKN|2020-01-25|111|121|21900681
681|CLE|CHI|2020-01-25|106|118|21900682
682|MIN|OKC|2020-01-25|104|113|21900683
683|PHI|LAL|2020-01-25|108|91|21900684
684|DEN|HOU|2020-01-26|117|110|21900685
685|SAS|TOR|2020-01-26|106|110|21900686
686|ATL|WAS|2020-01-26|152|133|21900687
687|NYK|BKN|2020-01-26|110|97|21900688
688|ORL|LAC|2020-01-26|97|112|21900689
689|MEM|PHX|2020-01-26|114|109|21900690
690|NOP|BOS|2020-01-26|123|108|21900691
691|POR|IND|2020-01-26|139|129|21900692
692|DET|CLE|2020-01-27|100|115|21900693
693|MIA|ORL|2020-01-27|113|92|21900694
694|CHI|SAS|2020-01-27|110|109|21900695
695|MIN|SAC|2020-01-27|129|133|21900696
696|OKC|DAL|2020-01-27|97|107|21900697
697|UTA|HOU|2020-01-27|117|126|21900698
698|CHA|NYK|2020-01-28|97|92|21900699
699|CLE|NOP|2020-01-28|111|125|21900700
700|MIA|BOS|2020-01-28|101|109|21900701
701|PHI|GSW|2020-01-28|115|104|21900702
702|TOR|ATL|2020-01-28|130|114|21900703
703|MEM|DEN|2020-01-28|104|96|21900704
704|MIL|WAS|2020-01-28|151|131|21900705
705|DAL|PHX|2020-01-28|104|133|21900706
706|IND|CHI|2020-01-29|115|106|21900708
707|BKN|DET|2020-01-29|125|115|21900709
708|NYK|MEM|2020-01-29|106|127|21900710
709|SAS|UTA|2020-01-29|127|120|21900711
710|POR|HOU|2020-01-29|125|112|21900712
711|SAC|OKC|2020-01-29|100|120|21900713
712|CLE|TOR|2020-01-30|109|115|21900714
713|WAS|CHA|2020-01-30|121|107|21900715
714|ATL|PHI|2020-01-30|127|117|21900716
715|BOS|GSW|2020-01-30|119|104|21900717
716|DEN|UTA|2020-01-30|106|100|21900718
717|LAC|SAC|2020-01-30|103|124|21900719
718|DET|TOR|2020-01-31|92|105|21900720
719|BKN|CHI|2020-01-31|133|118|21900721
720|HOU|DAL|2020-01-31|128|121|21900722
721|NOP|MEM|2020-01-31|139|111|21900723
722|MIL|DEN|2020-01-31|115|127|21900724
723|PHX|OKC|2020-01-31|107|111|21900725
724|LAL|POR|2020-01-31|119|127|21900726
725|LAC|MIN|2020-02-01|118|106|21900727
726|IND|NYK|2020-02-01|85|92|21900728
727|ORL|MIA|2020-02-01|89|102|21900729
728|CLE|GSW|2020-02-01|112|131|21900730
729|WAS|BKN|2020-02-01|113|107|21900731
730|BOS|PHI|2020-02-01|116|95|21900732
731|DAL|ATL|2020-02-01|123|100|21900733
732|SAS|CHA|2020-02-01|114|90|21900734
733|POR|UTA|2020-02-01|124|107|21900735
734|SAC|LAL|2020-02-01|113|129|21900736
735|DET|DEN|2020-02-02|128|123|21900737
736|HOU|NOP|2020-02-02|117|109|21900738
737|MIL|PHX|2020-02-02|129|108|21900739
738|TOR|CHI|2020-02-02|129|102|21900740
739|CHA|ORL|2020-02-03|100|112|21900741
740|CLE|NYK|2020-02-03|134|139|21900742
741|IND|DAL|2020-02-03|103|112|21900743
742|WAS|GSW|2020-02-03|117|125|21900744
743|ATL|BOS|2020-02-03|115|123|21900745
744|BKN|PHX|2020-02-03|119|97|21900746
745|MIA|PHI|2020-02-03|137|106|21900747
746|MEM|DET|2020-02-03|96|82|21900748
747|SAC|MIN|2020-02-03|113|109|21900749
748|LAC|SAS|2020-02-03|108|105|21900750
749|NOP|MIL|2020-02-04|108|120|21900751
750|HOU|CHA|2020-02-04|125|110|21900752
751|DEN|POR|2020-02-04|127|99|21900753
752|LAL|SAS|2020-02-04|129|102|21900754
753|DET|PHX|2020-02-05|116|108|21900755
754|BOS|ORL|2020-02-05|116|100|21900756
755|BKN|GSW|2020-02-05|129|88|21900757
756|TOR|IND|2020-02-05|119|118|21900758
757|MIN|ATL|2020-02-05|120|127|21900759
758|OKC|CLE|2020-02-05|109|103|21900760
759|DAL|MEM|2020-02-05|107|121|21900761
760|UTA|DEN|2020-02-05|95|98|21900762
761|LAC|MIA|2020-02-05|128|111|21900763
762|NYK|ORL|2020-02-06|105|103|21900764
763|CHI|NOP|2020-02-06|119|125|21900765
764|MIL|PHI|2020-02-06|112|101|21900766
765|POR|SAS|2020-02-06|125|117|21900767
766|LAL|HOU|2020-02-06|111|121|21900768
767|PHI|MEM|2020-02-07|119|107|21900769
768|WAS|DAL|2020-02-07|119|118|21900770
769|BOS|ATL|2020-02-07|112|107|21900771
770|IND|TOR|2020-02-07|106|115|21900772
771|OKC|DET|2020-02-07|108|101|21900773
772|PHX|HOU|2020-02-07|127|91|21900774
773|SAC|MIA|2020-02-07|105|97|21900775
774|UTA|POR|2020-02-07|117|114|21900776
775|ORL|MIL|2020-02-08|95|111|21900777
776|CHA|DAL|2020-02-08|100|116|21900778
777|DET|NYK|2020-02-08|92|95|21900779
778|IND|NOP|2020-02-08|117|124|21900780
779|TOR|BKN|2020-02-08|119|118|21900781
780|MIN|LAC|2020-02-08|142|115|21900782
781|GSW|LAL|2020-02-08|120|125|21900783
782|PHX|DEN|2020-02-08|108|117|21900784
783|SAC|SAS|2020-02-08|122|102|21900785
784|OKC|BOS|2020-02-09|111|112|21900786
785|ATL|NYK|2020-02-09|140|135|21900787
786|PHI|CHI|2020-02-09|118|111|21900788
787|WAS|MEM|2020-02-09|99|106|21900789
788|HOU|UTA|2020-02-09|113|114|21900790
789|CLE|LAC|2020-02-09|92|133|21900791
790|POR|MIA|2020-02-09|115|109|21900792
791|DET|CHA|2020-02-10|76|87|21900793
792|IND|BKN|2020-02-10|105|106|21900794
793|ORL|ATL|2020-02-10|135|126|21900795
794|TOR|MIN|2020-02-10|137|126|21900796
795|MIL|SAC|2020-02-10|123|111|21900797
796|DAL|UTA|2020-02-10|119|123|21900798
797|DEN|SAS|2020-02-10|127|120|21900799
798|GSW|MIA|2020-02-10|101|113|21900800
799|LAL|PHX|2020-02-10|125|100|21900801
800|PHI|LAC|2020-02-11|110|103|21900802
801|WAS|CHI|2020-02-11|126|114|21900803
802|NOP|POR|2020-02-11|138|117|21900804
803|OKC|SAS|2020-02-11|106|114|21900805
804|HOU|BOS|2020-02-11|116|105|21900806
805|CLE|ATL|2020-02-12|127|105|21900807
806|ORL|DET|2020-02-12|116|112|21900808
807|BKN|TOR|2020-02-12|101|91|21900809
808|IND|MIL|2020-02-12|118|111|21900810
809|NYK|WAS|2020-02-12|96|114|21900811
810|MEM|POR|2020-02-12|111|104|21900812
811|MIN|CHA|2020-02-12|108|115|21900813
812|DAL|SAC|2020-02-12|130|111|21900814
813|PHX|GSW|2020-02-12|112|106|21900815
814|UTA|MIA|2020-02-12|116|101|21900816
815|DEN|LAL|2020-02-12|116|120|21900817
816|BOS|LAC|2020-02-13|141|133|21900818
817|NOP|OKC|2020-02-13|118|123|21900819
818|DET|MIL|2020-02-20|106|126|21900820
819|ATL|MIA|2020-02-20|129|124|21900821
820|PHI|BKN|2020-02-20|112|104|21900822
821|CHI|CHA|2020-02-20|93|103|21900823
822|SAC|MEM|2020-02-20|129|125|21900824
823|GSW|HOU|2020-02-20|105|135|21900825
824|ORL|DAL|2020-02-21|106|122|21900826
825|WAS|CLE|2020-02-21|108|113|21900827
826|NYK|IND|2020-02-21|98|106|21900828
827|TOR|PHX|2020-02-21|118|101|21900829
828|MIN|BOS|2020-02-21|117|127|21900830
829|OKC|DEN|2020-02-21|113|101|21900831
830|UTA|SAS|2020-02-21|104|113|21900832
831|LAL|MEM|2020-02-21|117|105|21900833
832|POR|NOP|2020-02-21|115|128|21900834
833|LAC|SAC|2020-02-22|103|112|21900835
834|CHA|BKN|2020-02-22|86|115|21900836
835|ATL|DAL|2020-02-22|111|107|21900837
836|MIA|CLE|2020-02-22|124|105|21900838
837|CHI|PHX|2020-02-22|104|112|21900839
838|MIL|PHI|2020-02-22|119|98|21900840
839|UTA|HOU|2020-02-22|110|120|21900841
840|LAL|BOS|2020-02-23|114|112|21900842
841|TOR|IND|2020-02-23|127|81|21900843
842|DEN|MIN|2020-02-23|128|116|21900844
843|CHI|WAS|2020-02-23|126|117|21900845
844|OKC|SAS|2020-02-23|131|103|21900846
845|GSW|NOP|2020-02-23|101|115|21900847
846|POR|DET|2020-02-23|107|104|21900848
847|CLE|MIA|2020-02-24|125|119|21900849
848|PHI|ATL|2020-02-24|129|112|21900850
849|WAS|MIL|2020-02-24|134|137|21900851
850|BKN|ORL|2020-02-24|113|115|21900852
851|HOU|NYK|2020-02-24|123|112|21900853
852|DAL|MIN|2020-02-24|139|123|21900854
853|UTA|PHX|2020-02-24|111|131|21900855
854|LAC|MEM|2020-02-24|124|97|21900856
855|IND|CHA|2020-02-25|119|80|21900857
856|TOR|MIL|2020-02-25|97|108|21900858
857|CHI|OKC|2020-02-25|122|124|21900859
858|DEN|DET|2020-02-25|115|98|21900860
859|LAL|NOP|2020-02-25|118|109|21900861
860|POR|BOS|2020-02-25|106|118|21900862
861|GSW|SAC|2020-02-25|94|112|21900863
862|CHA|NYK|2020-02-26|107|101|21900864
863|CLE|PHI|2020-02-26|108|94|21900865
864|WAS|BKN|2020-02-26|110|106|21900866
865|ATL|ORL|2020-02-26|120|130|21900867
866|MIA|MIN|2020-02-26|126|129|21900868
867|SAS|DAL|2020-02-26|103|109|21900869
868|HOU|MEM|2020-02-26|140|112|21900870
869|PHX|LAC|2020-02-26|92|102|21900871
870|UTA|BOS|2020-02-26|103|114|21900872
871|PHI|NYK|2020-02-27|115|106|21900873
872|IND|POR|2020-02-27|106|100|21900874
873|OKC|SAC|2020-02-27|112|108|21900875
874|GSW|LAL|2020-02-27|86|116|21900876
875|ORL|MIN|2020-02-28|136|125|21900877
876|ATL|BKN|2020-02-28|141|118|21900878
877|TOR|CHA|2020-02-28|96|99|21900879
878|MIA|DAL|2020-02-28|126|118|21900880
879|MEM|SAC|2020-02-28|101|104|21900881
880|MIL|OKC|2020-02-28|133|86|21900882
881|NOP|CLE|2020-02-28|116|104|21900883
882|PHX|DET|2020-02-28|111|113|21900884
883|UTA|WAS|2020-02-28|129|119|21900885
884|LAC|DEN|2020-02-28|132|103|21900886
885|NYK|CHI|2020-02-29|125|115|21900887
886|ATL|POR|2020-02-29|129|117|21900888
887|MIA|BKN|2020-02-29|116|113|21900889
888|CLE|IND|2020-02-29|104|113|21900890
889|MEM|LAL|2020-02-29|105|88|21900891
890|BOS|HOU|2020-02-29|110|111|21900892
891|SAS|ORL|2020-02-29|114|113|21900893
892|PHX|GSW|2020-02-29|99|115|21900894
893|CHA|MIL|2020-03-01|85|93|21900895
894|MIN|DAL|2020-03-01|91|111|21900896
895|LAC|PHI|2020-03-01|136|130|21900897
896|DEN|TOR|2020-03-01|133|118|21900898
897|SAC|DET|2020-03-01|106|100|21900899
898|NOP|LAL|2020-03-01|114|122|21900900
899|GSW|WAS|2020-03-01|110|124|21900901
900|CLE|UTA|2020-03-02|113|126|21900902
901|NYK|HOU|2020-03-02|125|123|21900903
902|ORL|POR|2020-03-02|107|130|21900904
903|ATL|MEM|2020-03-02|88|127|21900905
904|MIA|MIL|2020-03-02|105|89|21900906
905|CHI|DAL|2020-03-02|109|107|21900907
906|SAS|IND|2020-03-02|111|116|21900908
907|CHA|SAS|2020-03-03|103|104|21900909
908|BOS|BKN|2020-03-03|120|129|21900910
909|NOP|MIN|2020-03-03|134|139|21900911
910|OKC|LAC|2020-03-03|94|109|21900912
911|DEN|GSW|2020-03-03|100|116|21900913
912|PHX|TOR|2020-03-03|114|123|21900914
913|LAL|PHI|2020-03-03|120|107|21900915
914|SAC|WAS|2020-03-03|133|126|21900916
915|CLE|BOS|2020-03-04|106|112|21900917
916|DET|OKC|2020-03-04|107|114|21900918
917|MIA|ORL|2020-03-04|116|113|21900919
918|BKN|MEM|2020-03-04|79|118|21900920
919|NYK|UTA|2020-03-04|104|112|21900921
920|MIN|CHI|2020-03-04|115|108|21900922
921|DAL|NOP|2020-03-04|127|123|21900923
922|MIL|IND|2020-03-04|119|100|21900924
923|POR|WAS|2020-03-04|125|104|21900925
924|CHA|DEN|2020-03-05|112|114|21900926
925|HOU|LAC|2020-03-05|105|120|21900927
926|SAC|PHI|2020-03-05|108|125|21900928
927|GSW|TOR|2020-03-05|113|121|21900929
928|WAS|ATL|2020-03-06|118|112|21900930
929|BKN|SAS|2020-03-06|139|120|21900931
930|NYK|OKC|2020-03-06|103|126|21900932
931|BOS|UTA|2020-03-06|94|99|21900933
932|CHI|IND|2020-03-06|102|108|21900934
933|MIN|ORL|2020-03-06|118|132|21900935
934|NOP|MIA|2020-03-06|110|104|21900936
935|DAL|MEM|2020-03-06|121|96|21900937
936|PHX|POR|2020-03-06|127|117|21900938
937|LAL|MIL|2020-03-06|113|103|21900939
938|CHA|HOU|2020-03-07|108|99|21900940
939|DET|UTA|2020-03-07|105|111|21900941
940|CLE|DEN|2020-03-07|104|102|21900942
941|MEM|ATL|2020-03-07|118|101|21900943
942|GSW|PHI|2020-03-07|118|114|21900944
943|POR|SAC|2020-03-07|111|123|21900945
944|BKN|CHI|2020-03-08|110|107|21900946
945|MIN|NOP|2020-03-08|107|120|21900947
946|LAC|LAL|2020-03-08|103|112|21900948
947|BOS|OKC|2020-03-08|104|105|21900949
948|PHX|MIL|2020-03-08|140|131|21900950
949|WAS|MIA|2020-03-08|89|100|21900951
950|DAL|IND|2020-03-08|109|112|21900952
951|HOU|ORL|2020-03-08|106|126|21900953
952|CLE|SAS|2020-03-08|132|129|21900954
953|NYK|DET|2020-03-08|96|84|21900955
954|SAC|TOR|2020-03-08|113|118|21900956
955|ATL|CHA|2020-03-09|143|138|21900957
956|DEN|MIL|2020-03-09|109|95|21900958
957|UTA|TOR|2020-03-09|92|101|21900959
958|IND|BOS|2020-03-10|111|114|21900960
959|WAS|NYK|2020-03-10|122|115|21900961
960|CHI|CLE|2020-03-10|108|103|21900962
961|HOU|MIN|2020-03-10|117|111|21900963
962|MEM|ORL|2020-03-10|115|120|21900964
963|SAS|DAL|2020-03-10|119|109|21900965
964|POR|PHX|2020-03-10|121|105|21900966
965|GSW|LAC|2020-03-10|107|131|21900967
966|LAL|BKN|2020-03-10|102|104|21900968
967|ATL|NYK|2020-03-11|131|136|21900969
968|MIA|CHA|2020-03-11|98|109|21900970
969|PHI|DET|2020-03-11|124|106|21900971
970|DAL|DEN|2020-03-11|113|97|21900973
971|NOP|UTA|2020-07-30|104|106|21901231
972|LAL|LAC|2020-07-30|103|101|21901232
973|BKN|ORL|2020-07-31|118|128|21901233
974|POR|MEM|2020-07-31|140|135|21901234
975|WAS|PHX|2020-07-31|112|125|21901235
976|MIL|BOS|2020-07-31|119|112|21901236
977|SAS|SAC|2020-07-31|129|120|21901237
978|DAL|HOU|2020-07-31|149|153|21901238
979|DEN|MIA|2020-08-01|105|125|21901239
980|OKC|UTA|2020-08-01|110|94|21901240
981|LAC|NOP|2020-08-01|126|103|21901241
982|IND|PHI|2020-08-01|127|121|21901242
983|TOR|LAL|2020-08-01|107|92|21901243
984|BKN|WAS|2020-08-02|118|110|21901244
985|BOS|POR|2020-08-02|128|124|21901245
986|MEM|SAS|2020-08-02|106|108|21901246
987|ORL|SAC|2020-08-02|132|116|21901247
988|HOU|MIL|2020-08-02|120|116|21901248
989|PHX|DAL|2020-08-02|117|115|21901249
990|MIA|TOR|2020-08-03|103|107|21901250
991|OKC|DEN|2020-08-03|113|121|21901251
992|WAS|IND|2020-08-03|100|111|21901252
993|NOP|MEM|2020-08-03|109|99|21901253
994|PHI|SAS|2020-08-03|132|130|21901254
995|UTA|LAL|2020-08-03|108|116|21901255
996|MIL|BKN|2020-08-04|116|119|21901256
997|SAC|DAL|2020-08-04|110|114|21901257
998|LAC|PHX|2020-08-04|115|117|21901258
999|IND|ORL|2020-08-04|120|109|21901259
1000|MIA|BOS|2020-08-04|112|106|21901260
1001|POR|HOU|2020-08-04|110|102|21901261
1002|UTA|MEM|2020-08-05|124|115|21901262
1003|WAS|PHI|2020-08-05|98|107|21901263
1004|SAS|DEN|2020-08-05|126|132|21901264
1005|LAL|OKC|2020-08-05|86|105|21901265
1006|ORL|TOR|2020-08-05|99|109|21901266
1007|BOS|BKN|2020-08-05|149|115|21901267
1008|SAC|NOP|2020-08-06|140|125|21901268
1009|MIL|MIA|2020-08-06|130|116|21901269
1010|PHX|IND|2020-08-06|114|99|21901270
1011|DAL|LAC|2020-08-06|111|126|21901271
1012|DEN|POR|2020-08-06|115|125|21901272
1013|HOU|LAL|2020-08-06|113|97|21901273
1014|SAS|UTA|2020-08-07|119|111|21901274
1015|MEM|OKC|2020-08-07|121|92|21901275
1016|BKN|SAC|2020-08-07|119|106|21901276
1017|PHI|ORL|2020-08-07|108|101|21901277
1018|NOP|WAS|2020-08-07|118|107|21901278
1019|TOR|BOS|2020-08-07|100|122|21901279
1020|POR|LAC|2020-08-08|117|122|21901280
1021|DEN|UTA|2020-08-08|134|132|21901281
1022|IND|LAL|2020-08-08|116|111|21901282
1023|MIA|PHX|2020-08-08|112|119|21901283
1024|DAL|MIL|2020-08-08|136|132|21901284
1025|OKC|WAS|2020-08-09|121|103|21901285
1026|TOR|MEM|2020-08-09|108|99|21901286
1027|NOP|SAS|2020-08-09|113|122|21901287
1028|BOS|ORL|2020-08-09|122|119|21901288
1029|POR|PHI|2020-08-09|124|121|21901289
1030|SAC|HOU|2020-08-09|112|129|21901290
1031|LAC|BKN|2020-08-09|120|129|21901291
1032|PHX|OKC|2020-08-10|128|101|21901292
1033|UTA|DAL|2020-08-10|114|122|21901293
1034|MIL|TOR|2020-08-10|106|114|21901294
1035|MIA|IND|2020-08-10|114|92|21901295
1036|LAL|DEN|2020-08-10|124|121|21901296
1037|ORL|BKN|2020-08-11|96|108|21901297
1038|SAS|HOU|2020-08-11|123|105|21901298
1039|PHI|PHX|2020-08-11|117|130|21901299
1040|DAL|POR|2020-08-11|131|134|21901300
1041|MEM|BOS|2020-08-11|107|122|21901301
1042|SAC|NOP|2020-08-11|112|106|21901302
1043|WAS|MIL|2020-08-11|113|126|21901303
1044|HOU|IND|2020-08-12|104|108|21901304
1045|PHI|TOR|2020-08-12|121|125|21901305
1046|OKC|MIA|2020-08-12|116|115|21901306
1047|DEN|LAC|2020-08-12|111|124|21901307
1048|BOS|WAS|2020-08-13|90|96|21901308
1049|BKN|POR|2020-08-13|133|134|21901309
1050|LAL|SAC|2020-08-13|122|136|21901310
1051|MEM|MIL|2020-08-13|119|106|21901311
1052|ORL|NOP|2020-08-13|133|127|21901312
1053|PHX|DAL|2020-08-13|128|102|21901313
1054|UTA|SAS|2020-08-13|118|112|21901314
1055|HOU|PHI|2020-08-14|96|134|21901315
1056|IND|MIA|2020-08-14|109|92|21901316
1057|LAC|OKC|2020-08-14|107|103|21901317
1058|TOR|DEN|2020-08-14|117|109|21901318
